public_reference,mileage,standard_colour,standard_make,standard_model,vehicle_condition,year_of_registration,price,body_type,crossover_car_and_van,fuel_type
DPE5FNO0,203880,Grey,Nissan,Altima,Certified Used,2015,30395,Convertible,True,Diesel
FN09IL2P,48999,Grey,Hyundai,Tucson,Certified Used,2011,44995,Sedan,True,Diesel
7LZ1NTT1,32409,Blue,Chevrolet,Silverado,Used,2021,38117,Hatchback,False,Hybrid
ITHQIOBE,49698,Green,Toyota,Corolla,Used,2009,34333,Hatchback,False,Diesel
U4ODHL5X,87523,Red,Nissan,Altima,New,2015,48281,Convertible,False,Petrol
8O75MQ2B,66628,Grey,Nissan,Altima,Certified Used,2003,36652,SUV,True,Diesel
K2TXXBO5,45908,Green,Chevrolet,Equinox,New,2006,46587,Coupe,True,Electric
ZPDE6FK8,137674,Black,Chevrolet,Equinox,New,2014,41535,Convertible,False,Electric
W5ANFXL0,94309,Black,Toyota,RAV4,Certified Used,2024,46163,Coupe,True,Hybrid
E9S4ATB7,170727,Black,Volkswagen,Passat,New,2005,35836,Truck,True,Diesel
70QYANCN,77907,Red,Kia,Optima,Used,2016,36126,Truck,False,Hybrid
7M05MI3T,33686,Yellow,Toyota,Camry,New,2008,51353,Sedan,False,Petrol
G4UNZUVJ,115321,Yellow,Hyundai,Elantra,New,2015,46832,Convertible,False,Diesel
A8BFIY6C,140771,Green,Ford,Focus,Used,2006,26722,Convertible,True,Hybrid
TP4QOM2C,88996,Grey,Toyota,Corolla,Used,2007,31090,Truck,False,Hybrid
4TJ791VX,156482,Green,Kia,Sportage,New,2024,46757,Coupe,True,Petrol
S4GLNKG0,21659,Black,Nissan,Rogue,New,2006,50683,SUV,True,Hybrid
46FALG33,212986,White,Toyota,RAV4,Used,2022,26401,Truck,True,Hybrid
A3RRN7W8,166897,Silver,Kia,Sorento,Certified Used,2008,32199,Convertible,False,Diesel
UET760MD,176633,Silver,Toyota,Corolla,Used,2012,25622,Truck,True,Electric
0H18T8ER,125247,Black,Nissan,Altima,New,2012,44780,Hatchback,True,Petrol
RGGAX1QG,153628,Silver,BMW,X5,Used,2001,26360,Coupe,True,Hybrid
F8HUHL7K,81876,Orange,Volkswagen,Golf,Used,2013,34327,Coupe,False,Diesel
9AGVHHFM,101095,Orange,Honda,Civic,Used,2021,35762,Convertible,True,Petrol
625H8AD5,37849,Orange,Hyundai,Elantra,Used,2024,40194,Truck,False,Diesel
B1IP8OJZ,225186,Brown,Chevrolet,Silverado,New,2024,40041,Convertible,True,Petrol
6HGLXNGM,239703,Yellow,Audi,Q5,New,2018,34336,Convertible,False,Hybrid
F1TSWZGH,205073,Black,Audi,A4,Used,2000,21230,SUV,True,Diesel
NN2Y6WJT,50013,Green,Chevrolet,Malibu,Used,2016,37116,Hatchback,False,Hybrid
GJ1VVXMJ,207326,Blue,Nissan,Sentra,Certified Used,2003,26258,Hatchback,True,Hybrid
V749JYT6,52360,Green,Honda,CR-V,New,2023,56367,Sedan,False,Hybrid
GISL4HV9,47431,White,Ford,Escape,Certified Used,2016,46790,Truck,True,Petrol
1E7YL47F,20322,Orange,Toyota,Camry,Used,2009,37661,Hatchback,True,Electric
3UJEIDFE,165809,Silver,Ford,F-150,Certified Used,2005,29953,Sedan,False,Electric
Q073P64J,184940,Orange,Audi,Q5,Used,2013,25424,SUV,True,Petrol
IR3W6KBY,32072,Red,Nissan,Rogue,New,2020,56415,Convertible,False,Electric
9SYG1E8T,131929,Grey,Toyota,Corolla,Certified Used,2006,34918,Hatchback,False,Electric
JFQS93A9,236002,Orange,Ford,F-150,Certified Used,2016,29281,Hatchback,True,Petrol
YXEAPWTU,107640,Black,BMW,5 Series,Certified Used,2006,36323,SUV,False,Electric
GF4RE3ND,119646,Red,Audi,A4,Certified Used,2015,37756,Convertible,True,Electric
5MU9TB50,95298,Grey,BMW,3 Series,Used,2019,34052,Convertible,False,Hybrid
3KJ8T6P9,133414,Grey,Hyundai,Sonata,New,2007,38488,Hatchback,False,Electric
ZURPFF9G,70214,Black,Nissan,Sentra,Certified Used,2007,41240,Coupe,True,Electric
0BPY0YNN,141616,Grey,Kia,Optima,New,2022,45835,Coupe,True,Hybrid
9CR1EUMR,21816,Brown,Nissan,Sentra,Certified Used,2004,42240,Truck,False,Hybrid
ORP6ODQS,18452,Brown,Ford,Escape,Certified Used,2022,50899,Hatchback,False,Hybrid
2LQSPCW8,17649,Silver,Hyundai,Elantra,Certified Used,2000,39064,Truck,True,Petrol
4ZRO3BNN,107991,Grey,Kia,Sorento,Used,2003,29509,Sedan,False,Diesel
W1V8J8KQ,47691,White,Hyundai,Elantra,Used,2016,37855,Convertible,False,Petrol
A2KOANWB,51087,Silver,Nissan,Rogue,Certified Used,2021,47645,Hatchback,True,Hybrid
FSY5344I,31608,Silver,Chevrolet,Equinox,Certified Used,2012,45798,Truck,True,Petrol
4JC6GS1W,120687,Silver,Toyota,Camry,Used,2015,31698,Coupe,False,Electric
HZTPCNR6,131963,Green,Honda,CR-V,Certified Used,2009,36282,Convertible,True,Hybrid
X6ABJV08,73356,Blue,Hyundai,Tucson,Used,2017,35237,Hatchback,False,Petrol
CHNFIWEV,69712,White,Toyota,Corolla,New,2014,49390,Truck,False,Hybrid
YC79FD2J,143783,Blue,BMW,3 Series,Used,2020,33504,Coupe,False,Electric
VPOG7347,217349,Green,Ford,Focus,Certified Used,2020,31083,Convertible,True,Diesel
MQUDSM8W,74594,Blue,Volkswagen,Passat,Certified Used,2020,44920,Coupe,False,Hybrid
ZI9XSPOX,222591,Silver,Honda,CR-V,Used,2000,19579,Convertible,True,Hybrid
4DD0AMIT,139641,Orange,Honda,CR-V,Used,2003,25487,SUV,False,Diesel
VYUQFTBT,173287,Grey,Kia,Optima,Certified Used,2015,32247,SUV,False,Diesel
FBK0JB8O,202757,White,Hyundai,Tucson,Certified Used,2002,25260,Coupe,False,Hybrid
84P8ZAOR,183384,Blue,BMW,X5,Used,2006,24588,SUV,False,Hybrid
6B3RE1CK,77409,Grey,Honda,CR-V,Used,2015,35872,Truck,False,Diesel
XTYWN7JU,179584,White,Audi,A4,Certified Used,2007,28623,Hatchback,True,Hybrid
R6JN18W5,101514,Yellow,Volkswagen,Golf,Certified Used,2012,39940,Convertible,False,Electric
M5R33WRG,26368,Green,Toyota,Camry,New,2017,57006,Convertible,False,Diesel
NTZNRC1Y,204815,Grey,BMW,3 Series,Used,2014,25126,Coupe,False,Hybrid
QOPSJOIB,203792,Silver,Kia,Sorento,Certified Used,2016,30754,Truck,True,Electric
XWH55QFL,195110,Black,Hyundai,Elantra,New,2003,32578,SUV,False,Hybrid
0G5O8DGL,138839,Black,Toyota,Corolla,Used,2019,31480,Sedan,True,Petrol
IOLS74WK,90907,White,BMW,3 Series,Certified Used,2023,46052,Sedan,True,Electric
6HHP098C,13102,Brown,BMW,X5,Used,2001,33908,Truck,False,Diesel
YKA31I25,115784,Blue,Hyundai,Tucson,Certified Used,2013,36613,Convertible,False,Hybrid
CG4IE28K,169067,Green,Kia,Sorento,New,2022,44304,Truck,False,Petrol
WTEATYQJ,131589,Silver,Nissan,Rogue,Certified Used,2011,35481,Convertible,True,Petrol
HHUYJ8K6,64810,Blue,Volkswagen,Passat,Used,2006,31767,Truck,False,Petrol
DFM28HHM,125936,Green,Ford,F-150,Used,2016,32612,Hatchback,True,Hybrid
67ZUX75D,88234,Orange,Chevrolet,Malibu,New,2008,46747,Hatchback,True,Diesel
F9KKV77N,214044,Blue,Chevrolet,Silverado,New,2024,41143,Truck,True,Hybrid
8AKAW4VJ,58195,Yellow,Chevrolet,Malibu,Used,2011,36473,Hatchback,False,Electric
9N87GLEI,17583,Black,Toyota,Camry,Certified Used,2008,43299,SUV,True,Electric
NNKVUA8Y,204116,Grey,Chevrolet,Malibu,Used,2010,22534,Truck,True,Petrol
MNS85YVV,13063,Yellow,Toyota,RAV4,Used,2017,41898,Sedan,False,Hybrid
LDHTCPL6,209767,White,Chevrolet,Silverado,Used,2020,28826,SUV,True,Electric
35CW98VK,38603,Orange,Honda,Accord,New,2000,45984,Coupe,True,Petrol
3OXEGF4V,204913,Green,Chevrolet,Malibu,New,2008,32636,Truck,False,Petrol
49YFVE9A,208218,Brown,Volkswagen,Golf,Certified Used,2016,31231,Sedan,True,Hybrid
4847A3TS,38298,White,Ford,Focus,New,2001,47968,Sedan,True,Diesel
GK72VGNV,184452,Green,Hyundai,Tucson,New,2010,36741,Sedan,False,Hybrid
YCVZ18L6,173697,Blue,Nissan,Sentra,New,2022,42548,Coupe,True,Diesel
UX6OWE57,1439,Yellow,Nissan,Altima,Used,2005,37359,Coupe,False,Hybrid
CEMXMPPP,88796,Blue,Toyota,Corolla,New,2006,44584,Hatchback,False,Hybrid
8FOLJUE4,177141,Silver,Honda,Accord,Used,2016,29508,Convertible,True,Hybrid
DSVG4J3L,208791,White,Ford,Focus,New,2016,38002,Hatchback,False,Diesel
VUK9T1C6,160386,Blue,Nissan,Sentra,Used,2017,29240,Sedan,False,Hybrid
V6237Z1R,109941,Brown,Kia,Optima,Certified Used,2023,41064,SUV,False,Petrol
QJFCNXAJ,138421,Orange,Ford,F-150,Used,2005,26431,SUV,False,Petrol
NV5HOIIJ,50978,Black,Toyota,Camry,New,2002,46541,Hatchback,True,Hybrid
GEXH172N,88600,White,Ford,F-150,New,2004,41617,Coupe,False,Petrol
A980RLA6,209915,Red,Honda,Accord,New,2024,42325,Hatchback,True,Electric
MPQV3YY5,68380,Orange,Toyota,Corolla,New,2009,48325,Convertible,False,Hybrid
C9S32CC2,112052,Red,Ford,Focus,New,2021,49797,Sedan,False,Hybrid
UB5KMS0N,11801,Yellow,Kia,Sportage,New,2001,47375,Convertible,False,Petrol
QFLADB2W,126651,Blue,Toyota,RAV4,Certified Used,2005,35047,SUV,True,Diesel
0PCXRECK,224553,Brown,Hyundai,Tucson,Used,2012,21594,Convertible,True,Hybrid
CU22EBKW,200511,Blue,Nissan,Sentra,New,2011,34546,Truck,True,Hybrid
6CNGGXYU,247425,Black,Hyundai,Elantra,Used,2008,18999,Sedan,True,Diesel
PXORZATF,92270,Red,Hyundai,Tucson,Certified Used,2001,36438,Convertible,False,Hybrid
0C99ZS80,37638,Brown,Ford,F-150,Used,2011,35141,Hatchback,True,Hybrid
OML1284X,191960,Silver,Nissan,Rogue,New,2009,37101,Hatchback,False,Electric
9EIJJBKA,240457,Grey,Kia,Optima,Used,2006,18375,Convertible,False,Hybrid
AJYBQTZ6,98036,Black,Chevrolet,Silverado,New,2004,42317,Truck,False,Electric
R2Y1UE2C,224973,Silver,Nissan,Sentra,Used,2009,23674,Sedan,False,Hybrid
CIJQT3IZ,236873,Green,Volkswagen,Tiguan,Used,2013,22006,Hatchback,False,Diesel
L9FOGS65,204619,Yellow,Honda,CR-V,Certified Used,2016,30963,SUV,False,Hybrid
YFK4M1Y7,169636,Black,Hyundai,Tucson,Certified Used,2003,29650,Hatchback,True,Electric
7OCGI63Z,118400,Orange,Volkswagen,Passat,Certified Used,2015,37754,Coupe,False,Electric
0M27X5Q9,29056,Red,BMW,X5,New,2021,58104,Convertible,True,Diesel
K4OEDQYD,101131,Silver,Ford,F-150,Certified Used,2006,37025,SUV,True,Diesel
CUDCXCH2,169003,Blue,Ford,Focus,Used,2001,23987,Coupe,False,Diesel
AQL091E3,159160,Blue,Toyota,Corolla,New,2020,42811,Convertible,True,Hybrid
NCKIJB0Z,196471,White,Kia,Optima,Certified Used,2017,31064,Sedan,False,Electric
O837PMMZ,137523,Brown,BMW,3 Series,Used,2005,27448,Convertible,False,Petrol
O2NYW5BC,202036,Black,Toyota,Camry,Certified Used,2005,26910,Convertible,True,Electric
0OAJCCNE,34367,Silver,Chevrolet,Equinox,New,2001,46037,Sedan,False,Petrol
ABCNTJEL,77350,Green,Honda,Accord,Used,2020,35033,Coupe,True,Hybrid
LTHYZSO2,111754,Blue,Kia,Optima,New,2015,46301,Hatchback,True,Petrol
PLGQLQ9Z,188675,Blue,Volkswagen,Tiguan,New,2017,40179,Sedan,False,Electric
XVABZPQQ,168494,White,Honda,CR-V,Used,2014,30104,Truck,True,Diesel
PNDQQQ0W,114895,Black,Toyota,RAV4,Used,2014,31573,Hatchback,True,Hybrid
ERRPIO0Z,248576,Black,Nissan,Rogue,Certified Used,2019,29896,Truck,True,Electric
OWM5PLXO,26753,Black,Chevrolet,Silverado,Certified Used,2021,49436,Sedan,False,Petrol
SO0HGZA2,72397,Orange,Toyota,RAV4,New,2002,44654,Hatchback,True,Petrol
0STL2AV8,59847,Green,Chevrolet,Equinox,New,2010,49836,Coupe,False,Electric
MD385LE9,247523,Silver,Kia,Sorento,Certified Used,2003,21366,Sedan,False,Hybrid
BVOIJD6E,196997,Red,Nissan,Altima,Certified Used,2020,34067,SUV,True,Petrol
1RXUIYAM,108796,Silver,Chevrolet,Silverado,New,2009,44654,Convertible,False,Hybrid
NT70DFG9,142332,Black,Audi,A6,Used,2016,29566,Hatchback,True,Diesel
YLCAPXFI,186530,Green,Chevrolet,Malibu,New,2006,33743,Sedan,False,Petrol
2OZD6J2E,238072,Black,Hyundai,Elantra,Certified Used,2014,26372,Coupe,True,Hybrid
VI0RSVO3,244015,White,BMW,X5,Certified Used,2000,21441,Sedan,False,Diesel
SRV7Y4F3,147136,Brown,Toyota,RAV4,Used,2014,31303,Convertible,True,Diesel
W9EJ43O6,191926,Grey,Volkswagen,Passat,New,2016,36901,Coupe,False,Hybrid
M2VEPH45,140428,White,Nissan,Rogue,Certified Used,2008,34352,Convertible,True,Electric
PSNXE8KU,178650,Red,Volkswagen,Golf,New,2008,34248,Truck,False,Diesel
E1WD8M58,145028,White,Ford,Focus,Certified Used,2012,34164,SUV,True,Diesel
HBBD1H50,67995,Brown,Hyundai,Elantra,New,2013,50278,Truck,True,Diesel
2NI149KG,203347,Red,Nissan,Rogue,Used,2002,21174,SUV,False,Diesel
MFUI2OA3,147241,Orange,Honda,Accord,Certified Used,2007,31347,Convertible,False,Petrol
UKXGYXRR,98262,Orange,Hyundai,Tucson,Certified Used,2001,34598,SUV,False,Petrol
PWT9KMEH,11957,Red,Nissan,Altima,Used,2013,38066,Coupe,False,Petrol
CJ9INJ4P,234620,Yellow,Nissan,Altima,Used,2001,19575,Sedan,True,Petrol
2KWR1UH5,247668,Brown,Kia,Optima,New,2003,25213,Hatchback,True,Electric
9EZRD6R2,76361,Orange,Chevrolet,Silverado,New,2000,43386,Convertible,False,Hybrid
CX7QGFP2,122040,Orange,Honda,Accord,Certified Used,2006,36424,Sedan,False,Electric
V4YYN0YB,18014,White,BMW,X5,New,2017,56537,Coupe,False,Diesel
LQGZOE00,176026,Brown,Audi,Q5,New,2007,35147,Hatchback,False,Petrol
O68Y5D9U,176567,Orange,Audi,Q5,New,2014,40062,SUV,True,Diesel
89AQAC4V,247905,Brown,Chevrolet,Silverado,Used,2023,26922,Hatchback,True,Hybrid
H6CRVO4B,95108,Orange,Hyundai,Elantra,New,2008,44144,Sedan,True,Petrol
0T97D18V,120189,Silver,BMW,X5,New,2013,44984,Coupe,True,Diesel
A7TT2KPB,106382,Red,Honda,CR-V,New,2004,40318,Sedan,False,Diesel
LY5LFDDU,115016,Silver,Kia,Sorento,Certified Used,2019,40131,Hatchback,False,Electric
ABR8NCV1,170249,Yellow,Ford,Escape,Certified Used,2018,35194,SUV,True,Diesel
LLKW9DPF,173144,Grey,Volkswagen,Passat,New,2003,33857,SUV,False,Hybrid
S2Q8UY5S,181737,Green,Ford,Escape,Certified Used,2016,34490,Hatchback,True,Electric
BRMWZEAO,210877,Red,BMW,3 Series,Certified Used,2019,31361,Coupe,False,Diesel
I1227IH6,94102,Blue,Audi,A4,New,2007,43094,Sedan,False,Electric
LSTK3NS6,14788,White,Hyundai,Tucson,New,2018,58044,Hatchback,False,Hybrid
Q3NPTHQ0,55305,Blue,Audi,A6,New,2017,51370,Convertible,True,Diesel
93RLV22Q,34904,Silver,Hyundai,Sonata,Certified Used,2024,48053,Truck,False,Hybrid
90JCT08G,18357,Blue,Toyota,RAV4,Used,2006,37009,Truck,False,Diesel
0WN1NL2Z,123068,Orange,Honda,Accord,Certified Used,2014,39615,Sedan,True,Petrol
B7MH6X92,244647,Green,Chevrolet,Silverado,Used,2012,20850,Hatchback,True,Petrol
VWZRNFDW,80550,Orange,BMW,5 Series,Used,2005,32574,Hatchback,False,Diesel
X01FF0BY,115384,Red,Ford,Escape,Used,2021,34876,SUV,True,Petrol
ZOZYLAZD,81754,White,Chevrolet,Malibu,Certified Used,2001,37740,Convertible,True,Electric
BK2FA0QL,99282,Silver,Honda,Civic,Certified Used,2024,45922,Convertible,True,Diesel
86N6VO3Z,66173,Blue,Chevrolet,Silverado,Certified Used,2013,44092,Truck,False,Diesel
A6ACTCC2,177759,Grey,Toyota,Corolla,New,2010,37098,Sedan,True,Electric
Q3SN72G5,191111,White,Hyundai,Elantra,Used,2004,23909,Sedan,False,Petrol
HZ5YRT0Z,145134,Green,Ford,Focus,Used,2003,24736,Coupe,True,Diesel
46M6BL5T,97514,White,Nissan,Rogue,New,2024,52596,Truck,True,Diesel
NTWX6DEY,54388,Green,BMW,3 Series,New,2020,55220,Truck,False,Diesel
PGTI4W19,169081,Grey,Audi,A4,Certified Used,2022,38424,Coupe,True,Hybrid
PEO8NKE4,100439,Green,BMW,X5,Certified Used,2006,35583,Hatchback,False,Petrol
TTNNY9PZ,34615,Blue,Audi,Q5,Used,2002,32927,Sedan,True,Diesel
KR9NMNE8,165679,Grey,Hyundai,Elantra,Certified Used,2003,30572,SUV,True,Diesel
UYD8MZV9,47059,Silver,Honda,Civic,Certified Used,2015,46064,Truck,False,Petrol
7YY2UIFL,20496,Blue,Honda,Civic,New,2000,47889,Truck,True,Diesel
6XRRIS3Y,212869,Grey,Ford,F-150,New,2023,40126,Truck,False,Hybrid
Q9TMU7OJ,104815,Brown,Volkswagen,Tiguan,Certified Used,2006,37941,Coupe,True,Electric
BB1SHT5T,211591,White,Honda,CR-V,Certified Used,2015,31602,Coupe,True,Electric
OSC4EHH5,29818,Red,Volkswagen,Golf,Used,2011,37746,Sedan,False,Hybrid
IM4GI0HB,206551,Silver,Nissan,Altima,New,2002,31954,SUV,False,Hybrid
ZBCX9PTN,185509,Silver,Chevrolet,Malibu,New,2022,43311,SUV,False,Diesel
K6UUS7OG,130999,Green,Honda,Accord,Used,2009,28691,Hatchback,True,Hybrid
1769FU6Q,16338,Orange,Audi,A4,New,2020,57506,Truck,False,Petrol
D7XKUSMK,111987,Green,Kia,Sorento,New,2018,47202,Coupe,False,Diesel
62VKPTCC,57983,Orange,Nissan,Rogue,Certified Used,2012,42559,Truck,False,Petrol
FIG0YZ0U,193386,Yellow,Chevrolet,Malibu,Certified Used,2023,37568,Convertible,False,Hybrid
H3J5TAHL,223558,Black,Nissan,Rogue,New,2018,37396,Convertible,False,Diesel
M0LB4Q0I,116929,Grey,Ford,Focus,New,2002,40837,Coupe,False,Diesel
KSXCZXBD,187331,Black,Nissan,Rogue,Used,2022,31133,Hatchback,False,Electric
C4WTGMFT,87404,Grey,Kia,Sorento,New,2004,41982,Truck,False,Petrol
0IOVGUSF,71796,Orange,Audi,A6,New,2012,47460,Coupe,True,Diesel
NGB2QIPL,240759,Red,Honda,Civic,Certified Used,2002,22722,Convertible,False,Electric
GF25BGB1,182,Green,Hyundai,Tucson,Certified Used,2005,46423,Convertible,True,Electric
Q5V90R9O,140556,Orange,Volkswagen,Passat,New,2011,42468,Convertible,False,Electric
YO5WBSKQ,210152,Black,Volkswagen,Tiguan,New,2013,37246,SUV,True,Diesel
M4G5GF9K,10157,Silver,Chevrolet,Silverado,New,2019,57670,Sedan,True,Diesel
NGS47OQI,189905,Yellow,Hyundai,Tucson,New,2006,32111,Convertible,True,Electric
5E6VYKI6,142719,Brown,Honda,Civic,New,2011,40519,Coupe,True,Electric
EHK34R4B,178865,White,Kia,Sorento,New,2017,41704,Hatchback,False,Diesel
81LFC7MK,153214,Yellow,Audi,A6,Certified Used,2005,30150,Sedan,True,Electric
UYIKNT4L,161690,Silver,Kia,Optima,New,2024,46676,Truck,False,Diesel
RFZ8HDRT,160111,Blue,Toyota,Corolla,New,2008,37743,Truck,False,Hybrid
QHB8TCC1,174929,White,Chevrolet,Malibu,Used,2014,29372,Truck,True,Electric
SH2CTLJT,189475,Silver,Nissan,Rogue,Certified Used,2019,34030,SUV,False,Hybrid
LXJV0XEC,115607,Grey,Chevrolet,Silverado,Used,2011,32476,Truck,True,Petrol
6HKM65AY,213905,Black,Kia,Optima,Used,2018,24821,Convertible,False,Electric
4BJG32QX,192027,Black,Hyundai,Elantra,New,2000,29068,Truck,False,Hybrid
MTI0XMO9,46543,Yellow,Honda,Civic,Certified Used,2020,45272,Truck,False,Petrol
ST8CE14O,144045,Yellow,Volkswagen,Passat,Used,2006,25999,Coupe,True,Hybrid
1QSUD5NW,28691,Grey,Hyundai,Sonata,New,2018,57458,Hatchback,False,Petrol
LQMWTQGC,227761,Black,Kia,Optima,Certified Used,2008,28018,SUV,False,Diesel
GIEYG2I3,62951,Silver,Nissan,Rogue,New,2024,55612,Truck,True,Petrol
MG3L27EG,244474,Orange,Audi,A6,New,2015,31660,Sedan,False,Hybrid
9GNWH6XQ,165225,Red,Volkswagen,Golf,New,2003,36861,Coupe,True,Diesel
LQ9D4593,220705,Orange,Chevrolet,Equinox,Certified Used,2012,27276,Coupe,False,Electric
QODL48HG,160364,Yellow,Audi,Q5,Used,2000,24835,Coupe,False,Petrol
YFVF9J7J,117782,White,Nissan,Sentra,Certified Used,2016,39438,Sedan,True,Diesel
I85N7VL1,62968,Red,Toyota,Camry,Certified Used,2021,45682,Sedan,False,Electric
8KQ24484,237465,White,BMW,5 Series,Used,2006,18597,Coupe,True,Electric
3W3D6LQ1,18207,Yellow,Honda,CR-V,Certified Used,2005,43802,Sedan,False,Diesel
KHD8Y6ON,175128,White,Ford,F-150,New,2012,38640,Coupe,False,Petrol
H3BAKHYL,116092,Green,Kia,Sportage,New,2015,47414,SUV,False,Electric
OVHJN2PR,62250,Brown,Ford,F-150,New,2010,47483,Convertible,True,Diesel
FGEXXV7D,25304,Brown,Toyota,RAV4,New,2013,54167,Hatchback,False,Petrol
OYP6EOAD,54933,Orange,Nissan,Sentra,New,2005,45214,SUV,False,Petrol
P8ELW3K0,42205,White,Kia,Optima,Used,2011,35939,SUV,True,Diesel
W9199MMV,202006,Black,Audi,A6,Certified Used,2023,36365,Truck,False,Electric
OMD2YR22,247178,Yellow,Hyundai,Sonata,Certified Used,2022,30589,SUV,True,Diesel
PYD0F2MF,204291,Green,Audi,A6,Certified Used,2002,24220,Truck,False,Electric
PQ4A4NBT,833,Orange,Hyundai,Elantra,Certified Used,2023,51569,Truck,False,Petrol
CYERAMQ9,12429,Grey,Hyundai,Tucson,Used,2017,39904,Truck,False,Hybrid
A45YKS2P,47368,Brown,BMW,5 Series,Used,2001,31163,Coupe,False,Diesel
A2LGGIQS,193525,Silver,Kia,Optima,Certified Used,2013,29720,SUV,True,Diesel
Q4TBGH3R,97119,Yellow,Chevrolet,Silverado,New,2013,46229,Convertible,False,Hybrid
F3OBYYO8,240840,Yellow,Chevrolet,Silverado,New,2012,30124,Convertible,True,Hybrid
KYP4TJJK,8649,Grey,Hyundai,Elantra,Used,2022,42591,Sedan,True,Electric
WY5M1AR7,139907,Green,Nissan,Rogue,New,2001,36363,Sedan,True,Electric
GNCKNP8L,130502,Silver,Honda,Civic,Used,2000,27492,Sedan,False,Petrol
5I6D4V3R,179879,Yellow,Ford,Focus,Used,2015,25915,Hatchback,False,Electric
RHB99MRA,164390,Blue,Audi,A4,New,2016,40920,Sedan,True,Diesel
B0BB21RO,179790,Brown,Audi,Q5,Used,2006,25662,Hatchback,False,Diesel
IKHN3HXX,135694,Red,Chevrolet,Silverado,New,2012,42366,Hatchback,True,Electric
TLIBDRXO,96332,Brown,Volkswagen,Tiguan,Certified Used,2019,44308,Truck,True,Hybrid
B872274G,22959,Yellow,BMW,5 Series,Used,2010,35601,Sedan,False,Electric
HXPWOPC7,120440,Black,Chevrolet,Malibu,Certified Used,2008,37399,Sedan,True,Petrol
YLQV2OSD,169967,Red,Chevrolet,Equinox,New,2006,34150,Sedan,True,Hybrid
5B2W1WL1,216600,Blue,BMW,3 Series,Certified Used,2008,25588,Coupe,False,Hybrid
CL3MNRLX,4938,Grey,Ford,F-150,Certified Used,2018,51703,SUV,False,Diesel
ABRH65H8,114638,Red,Audi,A4,New,2015,47163,Truck,False,Petrol
RP5QB9ZQ,146969,White,Kia,Sorento,New,2011,39123,Convertible,True,Petrol
BSJHIETH,87956,Orange,Chevrolet,Malibu,Certified Used,2019,45010,Convertible,False,Electric
4RZ7WKJU,233848,Grey,BMW,5 Series,Used,2019,26774,Convertible,True,Hybrid
XKWHJ47X,15664,Yellow,Audi,A6,Certified Used,2015,48793,Coupe,False,Hybrid
ZFRSHMW1,191019,Blue,BMW,X5,Used,2016,26653,Hatchback,False,Hybrid
2IZ5A4KI,173180,Orange,Ford,Escape,Used,2015,29417,Coupe,True,Petrol
GTORLVJQ,226123,Grey,Hyundai,Sonata,Certified Used,2010,27570,Truck,False,Hybrid
MJQ2LU3M,61659,Orange,Audi,A6,New,2004,45095,SUV,False,Hybrid
T2EJK0VN,205578,Blue,Kia,Sportage,Certified Used,2001,24625,Hatchback,True,Petrol
TNHHUKIY,38271,Yellow,BMW,X5,Certified Used,2010,42938,Sedan,True,Diesel
LQD90AXL,102922,Black,Toyota,Corolla,New,2012,47532,Truck,False,Hybrid
U9PZD2KQ,71190,Brown,BMW,X5,Used,2002,32524,Sedan,True,Hybrid
2E4G1KHF,39367,Green,Volkswagen,Passat,Used,2021,40950,Sedan,False,Hybrid
4EJNEQ5O,82901,Grey,Hyundai,Elantra,Used,2022,37790,Sedan,True,Hybrid
0MKKLWMS,236925,Black,Hyundai,Sonata,Certified Used,2020,30482,Hatchback,False,Electric
UPGOHUQC,125593,Brown,Volkswagen,Tiguan,New,2008,39744,SUV,False,Hybrid
PNJ02V29,143958,White,Nissan,Sentra,New,2004,36335,Sedan,False,Electric
6XAP6X4V,237034,Brown,Nissan,Altima,New,2010,33027,Truck,False,Diesel
FG9S7Q69,30263,Red,Honda,Civic,New,2022,56103,SUV,False,Hybrid
4F5AZ4XJ,183239,Red,Volkswagen,Golf,New,2006,33148,Hatchback,False,Diesel
JZ0YWFY5,207635,Grey,Honda,Civic,Used,2009,24862,Sedan,True,Electric
5G08KF8P,222720,White,Kia,Optima,Used,2013,24421,Coupe,False,Diesel
RAQY5OD5,227452,Blue,Volkswagen,Tiguan,Used,2002,20391,SUV,False,Diesel
Z3KOM137,232452,Green,Kia,Sportage,New,2014,35184,Truck,False,Electric
PLGBBH5I,60608,White,Ford,Focus,Certified Used,2007,40437,Sedan,True,Hybrid
WWXO9BHH,227429,Yellow,Audi,A4,Certified Used,2012,27441,Coupe,False,Hybrid
EUB4JDIF,222969,Green,Chevrolet,Malibu,Used,2005,19892,Truck,False,Electric
L9V653EH,166353,Black,Nissan,Rogue,Used,2017,30472,Coupe,False,Diesel
OYGQAA17,125472,Red,Chevrolet,Silverado,New,2022,49769,Hatchback,False,Electric
M4RWK3GO,120104,Red,Hyundai,Tucson,Used,2015,33734,SUV,False,Electric
2NRXXAMF,245523,White,Chevrolet,Malibu,New,2013,32111,Hatchback,True,Electric
N9ZRKK2V,129357,Silver,Hyundai,Elantra,New,2015,44185,Hatchback,False,Petrol
PM2W5147,30382,Blue,Kia,Sorento,New,2017,56162,SUV,True,Diesel
QHPKJ6W6,34299,Orange,Kia,Optima,Used,2007,36208,SUV,True,Petrol
CD94YXIO,82388,Orange,Hyundai,Tucson,New,2009,47759,Sedan,True,Electric
